condition1,trialNo,stim1,accuracy,RT,participant,early_late_acquisition,language,congruency
incongruent_eng,42,strawberry_CHEESE,1,975,7438,late,eng,incong
congruent_eng,43,strawberry_STRAWBERRY,1,793,7438,late,eng,cong
congruent_span,44,strawberry_FRESA,1,1323,7438,late,span,cong
congruent_eng,1,apple_APPLE,1,844,1234,early,eng,cong
congruent_span,2,apple_MANZANA,1,809,1234,early,span,cong
incongruent_eng,3,apple_MEAT,1,844,1234,early,eng,incong
incongruent_span,4,apple_QUESO,1,871,1234,early,span,incong
congruent_eng,5,bird_BIRD,1,803,1234,early,eng,cong
incongruent_eng,6,bird_DOG,1,1275,1234,early,eng,incong
congruent_span,7,bird_PAJARO,1,1360,1234,early,span,cong
incongruent_span,8,bird_PERRO,1,734,1234,early,span,incong
congruent_eng,9,cat-CAT,1,815,1234,early,eng,cong
incongruent_eng,10,cat_DOG,1,920,1234,early,eng,incong
incongruent_span,11,cat_PERRO,1,1164,1234,early,span,incong
congruent_span,12,cat_GATO,1,946,1234,early,span,cong
incongruent_eng,13,cheese_APPLE,1,941,1234,early,eng,incong
congruent_eng,14,cheese_CHEESE,1,915,1234,early,eng,cong
incongruent_span,15,cheese_MANZANA,1,829,1234,early,span,incong
congruent_span,16,cheese_QUESO,1,926,1234,early,span,cong
congruent_eng,17,cow_COW,1,1501,1234,early,eng,cong
incongruent_eng,18,cow_BIRD,1,1218,1234,early,eng,incong
congruent_span,19,cow_VACA,1,1487,1234,early,span,cong
incongruent_span,20,cow_PAJARO,1,1627,1234,early,span,incong
congruent_eng,21,dog_DOG,1,745,1234,early,eng,cong
congruent_span,22,dog_PERRO,1,844,1234,early,span,cong
incongruent_eng,23,dog_CAT,0,1009,1234,early,eng,incong
incongruent_span,24,dog_GATO,1,832,1234,early,span,incong
congruent_eng,25,eye_EYE,1,681,1234,early,eng,cong
congruent_span,26,eye_OJO,1,805,1234,early,span,cong
incongruent_span,27,eye_MANO,1,755,1234,early,span,incong
incongruent_eng,28,eye_HAND,1,1651,1234,early,eng,incong
congruent_eng,29,hand_HAND,1,736,1234,early,eng,cong
congruent_span,30,hand_MANO,1,662,1234,early,span,cong
incongruent_span,31,hand_BOCA,1,821,1234,early,span,incong
incongruent_eng,32,hand_MOUTH,0,689,1234,early,eng,incong
congruent_eng,33,mouth_MOUTH,1,660,1234,early,eng,cong
congruent_span,34,mouth_BOCA,1,759,1234,early,span,cong
incongruent_span,35,mouth_NARIZ,1,807,1234,early,span,incong
incongruent_eng,36,mouth_NOSE,1,802,1234,early,eng,incong
congruent_eng,37,nose_NOSE,1,727,1234,early,eng,cong
congruent_span,38,nose_NARIZ,1,922,1234,early,span,cong
incongruent_eng,39,nose_HAND,1,783,1234,early,eng,incong
incongruent_span,40,nose_MANO,1,1019,1234,early,span,incong
incongruent_span,41,strawberry_CARNE,1,1120,1234,early,span,incong
incongruent_eng,42,strawberry_CHEESE,1,1235,1234,early,eng,incong
congruent_eng,43,strawberry_STRAWBERRY,0,1019,1234,early,eng,cong
congruent_span,44,strawberry_FRESA,1,906,1234,early,span,cong
congruent_eng,1,apple_APPLE,1,623,1953,late,eng,cong
